"f_42-3:0","f_42-3:1","f_42-3:2",":0",":1",":2"
0.06304,0.077069,0,0.93799,1.1424,0
0.061986,0.078067,0,0.86006,1.0802,0
0.057916,0.081056,0,0.84517,1.1788,0
0.059224,0.079908,0,0.92311,1.241,0
0.054184,0.083459,0,0.83028,1.2774,0
0.052404,0.084708,0,0.75235,1.2152,0
0.048734,0.086686,0,0.73746,1.3138,0
0.046463,0.087977,0,0.6614,1.2522,0
0.043039,0.089631,0,0.64495,1.3503,0
0.040504,0.090968,0,0.56739,1.289,0
0.03711,0.092368,0,0.55198,1.3868,0
0.034013,0.093736,0,0.47313,1.3257,0
0.030871,0.094797,0,0.45889,1.4233,0
0.026994,0.096063,0,0.3816,1.3628,0
0.024291,0.09666,0,0.36624,1.4598,0
0.019967,0.097448,0,0.28902,1.3994,0
0.017861,0.097919,0,0.27348,1.4962,0
0.013378,0.098659,0,0.19556,1.4341,0
0.011538,0.098847,0,0.18056,1.5324,0
0.0065714,0.099427,0,0.10261,1.4701,0
0.0051647,0.099281,0,0.087703,1.5687,0
1.6122e-05,0.099471,0,0.0097581,1.5065,0
0.045312,0.088262,0,0.72262,1.4124,0
0.033984,0.093417,0,0.53693,1.4852,0
0.021944,0.096955,0,0.35128,1.558,0
0.00091426,0.099674,0,0.024644,1.4079,0
-0.0052889,0.099368,0,-0.068186,1.4443,0
-0.0058108,0.099111,0,-0.083074,1.5428,0
-0.011166,0.09875,0,-0.16101,1.4807,0
-0.011295,0.098375,0,-0.1759,1.5792,0
-0.016699,0.097783,0,-0.25384,1.5171,0
-0.016882,0.098121,0,-0.23895,1.4185,0
-0.022336,0.096826,0,-0.33178,1.4549,0
-0.022953,0.097062,0,-0.31689,1.3563,0
-0.02821,0.095423,0,-0.40972,1.3927,0
-0.027264,0.095288,0,-0.4246,1.4913,0
-0.032949,0.093619,0,-0.50254,1.4291,0
-0.034342,0.093516,0,-0.48765,1.3305,0
-0.038631,0.09148,0,-0.58048,1.3669,0
-0.037115,0.091682,0,-0.59537,1.4655,0
0.07701,-0.062458,0,1.2654,-1.0266,0
-0.018117,-0.098136,0,-0.23947,-1.3542,0
0.098881,0.0080521,0,1.614,0.13524,0
-0.042582,0.089492,0,-0.67331,1.4033,0
0.09559,0.026285,0,1.5676,0.43304,0
-0.096675,0.022322,0,-1.5637,0.36168,0
0.086631,0.049461,0,1.1832,0.67524,0
0.067823,-0.073277,0,0.91146,-0.9807,0
-0.097397,-0.021827,0,-1.2958,-0.30088,0
0.09732,-0.019484,0,1.5956,-0.32132,0
-0.06183,0.07759,0,-0.99956,1.2534,0
-0.056823,0.081311,0,-0.92164,1.3155,0
-0.064583,-0.075075,0,-1.0623,-1.2265,0
0.068141,0.072039,0,1.1088,1.1682,0
0.050127,-0.086387,0,0.67487,-1.1668,0
0.029005,-0.094875,0,0.47105,-1.5498,0
0.050252,0.086111,0,0.6781,1.1562,0
0.055646,0.082175,0,0.90822,1.3396,0
-0.086341,0.049817,0,-1.1589,0.67634,0
-0.016503,0.097393,0,-0.26873,1.6156,0
-0.098892,0.0064127,0,-1.6119,0.10232,0
-0.095197,0.027617,0,-1.5786,0.46028,0
-0.035776,-0.092234,0,-0.58322,-1.5071,0
-0.024385,-0.09602,0,-0.3975,-1.58,0
0.030266,0.095042,0,0.3988,1.2699,0
0.078729,0.05987,0,1.3093,0.99679,0
0.09466,0.032064,0,1.302,0.44694,0
0.099135,-0.0034723,0,1.6438,-0.061942,0
-0.099671,-0.00050593,0,-1.3383,-0.0054703,0
0.043897,-0.089007,0,0.71977,-1.4618,0
-0.051699,-0.084256,0,-0.86176,-1.3979,0
-0.039299,-0.091951,0,-0.5316,-1.2472,0
0.0098783,0.09878,0,0.16564,1.6308,0
-0.08731,0.046999,0,-1.4524,0.78185,0
0.02359,-0.096238,0,0.39311,-1.612,0
0.10001,0.0035425,0,1.3611,0.044942,0
0.077982,-0.062045,0,1.0648,-0.85058,0
0.004087,0.098852,0,0.072804,1.6672,0
-0.04093,0.08977,0,-0.6882,1.5019,0
-0.017022,0.098479,0,-0.22406,1.3199,0
0.091581,0.037252,0,1.5396,0.6282,0
-0.061888,-0.078312,0,-0.82842,-1.04,0
-0.092563,-0.036333,0,-1.2489,-0.48876,0
-0.068569,-0.071079,0,-1.1551,-1.1901,0
0.098823,-0.015767,0,1.3171,-0.21209,0
-0.035727,0.091709,0,-0.61026,1.5641,0
-0.056263,-0.082632,0,-0.73561,-1.0764,0
0.015232,0.09854,0,0.20439,1.3284,0
0.089179,0.042391,0,1.5247,0.72679,0
0.095746,-0.02498,0,1.6105,-0.41991,0
-0.044298,0.089153,0,-0.65837,1.3047,0
-0.023626,0.09733,0,-0.302,1.2577,0
