"f_42-2",":0",":1",":2"
-1.1893,-1.3826,-0.26691,0
-1.218,-1.4599,-0.3286,0
-1.1924,-1.3691,-0.36533,0
-1.2212,-1.4452,-0.42716,0
-1.1976,-1.3545,-0.46389,0
-1.2261,-1.4304,-0.52574,0
-1.2043,-1.3376,-0.56216,0
-1.2327,-1.4152,-0.62428,0
-1.2128,-1.3224,-0.66069,0
-1.2405,-1.4002,-0.72285,0
-1.223,-1.3074,-0.75927,0
-1.2405,-1.5526,-0.2921,0
-1.2423,-1.5823,-0.094875,0
-1.1915,-1.2295,-0.6971,0
-1.2047,-1.2146,-0.79569,0
-1.2341,-1.2925,-0.85786,0
-1.2182,-1.1997,-0.89428,0
-1.1867,-1.1244,-0.83632,0
-1.2026,-1.1075,-0.93201,0
-1.2324,-1.1849,-0.99309,0
-1.2194,-1.0921,-1.0295,0
-1.1869,-1.0141,-0.96712,0
-1.2066,-0.99921,-1.0658,0
-1.2355,-1.0772,-1.1279,0
-1.2256,-0.98433,-1.1643,0
-1.1951,-0.90638,-1.1021,0
-1.2169,-0.8915,-1.2007,0
-1.1853,-0.81355,-1.1386,0
-1.2097,-0.79868,-1.2371,0
-1.2366,-0.87663,-1.2993,0
-1.2315,-0.78381,-1.3357,0
-1.2043,-0.70586,-1.2736,0
-1.2281,-0.69099,-1.3722,0
-1.201,-0.61304,-1.31,0
-1.2264,-0.59817,-1.4086,0
-1.1995,-0.51723,-1.3459,0
-1.2266,-0.50485,-1.4449,0
-1.2013,-0.42295,-1.3833,0
-1.2285,-0.41171,-1.4815,0
-1.2051,-0.33458,-1.4192,0
-1.2324,-0.31957,-1.5178,0
-1.2121,-0.24301,-1.4589,0
-1.2379,-0.22708,-1.5548,0
-1.2193,-0.15046,-1.4959,0
-1.2444,-0.13435,-1.5914,0
-1.2274,-0.056422,-1.5293,0
-1.1937,-0.076279,-1.4203,0
-1.2082,0.020895,-1.4648,0
-1.2368,0.036552,-1.5648,0
-1.2211,0.11447,-1.5025,0
-1.2506,-1.508,-0.58785,0
-1.1893,0.10042,-1.4057,0
-1.2051,0.19247,-1.4413,0
-1.2342,0.20741,-1.5392,0
-1.2208,0.28538,-1.4771,0
-1.1883,0.27054,-1.3784,0
-1.2078,0.36335,-1.4148,0
-1.2365,0.37823,-1.5134,0
-1.2262,0.45618,-1.4512,0
-1.1955,0.4413,-1.3526,0
-1.2169,0.53413,-1.389,0
-1.1843,0.51925,-1.2904,0
-1.2088,0.61207,-1.3268,0
-1.2365,0.62695,-1.4254,0
-1.2308,0.70489,-1.3633,0
-1.2025,0.69001,-1.2647,0
-1.2267,0.78284,-1.3011,0
-1.1984,0.76766,-1.2032,0
-1.2244,0.86073,-1.239,0
-1.1966,0.8463,-1.141,0
-1.224,0.93878,-1.1769,0
-1.1972,0.92483,-1.0784,0
-1.2256,1.0168,-1.1146,0
-1.2001,1.002,-1.016,0
-1.229,1.0946,-1.0524,0
-1.2053,1.0798,-0.95377,0
-1.2343,1.1726,-0.99018,0
-1.2125,1.1577,-0.89158,0
-1.2409,1.2505,-0.928,0
-1.2215,1.2356,-0.8294,0
-1.2487,1.3284,-0.86581,0
-1.2314,1.3136,-0.76722,0
-1.2008,1.2224,-0.73291,0
-1.2133,1.299,-0.66898,0
-1.2422,1.3916,-0.7051,0
-1.2264,1.3767,-0.60652,0
-1.195,1.2878,-0.57048,0
-1.2106,1.3623,-0.50785,0
-1.2401,1.4547,-0.54428,0
-1.227,1.4398,-0.44568,0
-1.194,1.3435,-0.40988,0
-1.2142,1.4243,-0.34719,0
-1.2428,1.5176,-0.38351,0
-1.2329,1.5027,-0.28492,0
-1.2029,1.4098,-0.24851,0
-1.2243,1.4879,-0.18631,0
-1.1928,1.395,-0.1499,0
-1.2171,1.473,-0.087718,0
-1.2437,1.5658,-0.12413,0
-1.2387,1.5509,-0.025534,0
-1.2117,1.4581,0.010874,0
-1.2353,1.5361,0.073058,0
-1.2079,1.442,0.10927,0
-1.2335,1.521,0.17162,0
-1.2067,1.4268,0.20782,0
-1.2336,1.506,0.2702,0
-1.2079,1.412,0.30642,0
-1.2356,1.4911,0.36879,0
-1.2115,1.3971,0.40502,0
-1.2393,1.4762,0.46738,0
-1.2175,1.3834,0.50379,0
-1.2447,1.4617,0.56601,0
-1.225,1.3688,0.60242,0
-1.2513,1.4468,0.66461,0
-1.2338,1.3539,0.70101,0
-1.2032,1.276,0.63883,0
-1.2149,1.2611,0.73742,0
-1.2437,1.3391,0.79961,0
-1.2274,1.2462,0.83601,0
-1.2479,0.87565,-1.3375,0
-1.2475,1.0315,-1.2131,0
-1.1768,1.3355,0.24446,0
-1.2542,1.3242,0.8982,0
-1.2404,1.2314,0.9346,0
-1.2105,1.1534,0.87242,0
-1.2264,1.1385,0.97101,0
-1.1932,1.0606,0.90882,0
-1.2126,1.0457,1.0074,0
-1.2421,1.1236,1.0696,0
-1.231,1.0308,1.106,0
-1.1994,0.95288,1.0438,0
-1.2209,0.93799,1.1424,0
-1.1873,0.86006,1.0802,0
-1.2119,0.84517,1.1788,0
-1.2406,0.92311,1.241,0
-1.234,0.83028,1.2774,0
-1.2046,0.75235,1.2152,0
-1.229,0.73746,1.3138,0
-1.1998,0.6614,1.2522,0
-1.2258,0.64495,1.3503,0
-1.1968,0.56739,1.289,0
-1.2245,0.55198,1.3868,0
-1.1964,0.47313,1.3257,0
-1.2251,0.45889,1.4233,0
-1.1989,0.3816,1.3628,0
-1.2277,0.36624,1.4598,0
-1.2034,0.28902,1.3994,0
-1.232,0.27348,1.4962,0
-1.2094,0.19556,1.4341,0
-1.2379,0.18056,1.5324,0
-1.2175,0.10261,1.4701,0
-1.2451,0.087703,1.5687,0
-1.2271,0.0097581,1.5065,0
-1.2505,0.72262,1.4124,0
-1.2482,0.53693,1.4852,0
-1.2523,0.35128,1.558,0
-1.1954,0.024644,1.4079,0
-1.2081,-0.068186,1.4443,0
-1.2377,-0.083074,1.5428,0
-1.2216,-0.16101,1.4807,0
-1.2488,-0.1759,1.5792,0
-1.2353,-0.25384,1.5171,0
-1.2052,-0.23895,1.4185,0
-1.222,-0.33178,1.4549,0
-1.1888,-0.31689,1.3563,0
-1.2092,-0.40972,1.3927,0
-1.2383,-0.4246,1.4913,0
-1.2283,-0.50254,1.4291,0
-1.1971,-0.48765,1.3305,0
-1.2194,-0.58048,1.3669,0
-1.2461,-0.59537,1.4655,0
-1.2586,1.2654,-1.0266,0
-1.1766,-0.23947,-1.3542,0
-1.2559,1.614,0.13524,0
-1.2396,-0.67331,1.4033,0
-1.2584,1.5676,0.43304,0
-1.25,-1.5637,0.36168,0
-1.1797,1.1832,0.67524,0
-1.1668,0.91146,-0.9807,0
-1.1593,-1.2958,-0.30088,0
-1.2577,1.5956,-0.32132,0
-1.2515,-0.99956,1.2534,0
-1.2522,-0.92164,1.3155,0
-1.2507,-1.0623,-1.2265,0
-1.2572,1.1088,1.1682,0
-1.1689,0.67487,-1.1668,0
-1.2516,0.47105,-1.5498,0
-1.1713,0.6781,1.1562,0
-1.2586,0.90822,1.3396,0
-1.168,-1.1589,0.67634,0
-1.2601,-0.26873,1.6156,0
-1.2508,-1.6119,0.10232,0
-1.2595,-1.5786,0.46028,0
-1.2482,-0.58322,-1.5071,0
-1.2516,-0.3975,-1.58,0
-1.1666,0.3988,1.2699,0
-1.2651,1.3093,0.99679,0
-1.1844,1.302,0.44694,0
-1.2614,1.6438,-0.061942,0
-1.1635,-1.3383,-0.0054703,0
-1.2544,0.71977,-1.4618,0
-1.2543,-0.86176,-1.3979,0
-1.1686,-0.5316,-1.2472,0
-1.2617,0.16564,1.6308,0
-1.2612,-1.4524,0.78185,0
-1.2602,0.39311,-1.612,0
-1.1778,1.3611,0.044942,0
-1.1776,1.0648,-0.85058,0
-1.2679,0.072804,1.6672,0
-1.2626,-0.6882,1.5019,0
-1.1682,-0.22406,1.3199,0
-1.2674,1.5396,0.6282,0
-1.1584,-0.82842,-1.04,0
-1.164,-1.2489,-0.48876,0
-1.2592,-1.1551,-1.1901,0
-1.1666,1.3171,-0.21209,0
-1.2684,-0.61026,1.5641,0
-1.1464,-0.73561,-1.0764,0
-1.172,0.20439,1.3284,0
-1.2735,1.5247,0.72679,0
-1.266,1.6105,-0.41991,0
-1.212,-0.65837,1.3047,0
-1.1484,-0.302,1.2577,0
-1.2713,-0.19079,1.6778,0
-1.27,-1.5304,0.71966,0
-1.2603,-0.21205,-1.6529,0
-1.2782,1.6884,-0.35772,0
-1.1579,0.42643,-1.254,0
-1.2718,-1.1402,-1.2887,0
-1.2661,-0.11925,-1.6894,0
-1.2767,1.4021,0.96039,0
-1.2722,-1.6565,0.39811,0
-1.1606,0.87494,0.98164,0
-1.1526,-1.2853,0.25241,0
-1.2728,0.48593,-1.6484,0
-1.2711,-1.0144,1.352,0
-1.272,-0.93652,1.4141,0
-1.2711,-1.0924,1.2898,0
-1.1429,-1.0159,0.78746,0
-1.167,1.1988,0.57859,0
-1.1356,1.1054,0.61338,0
-1.1661,-1.2371,0.51177,0
-1.1738,1.0755,0.81023,0
