"f_42-4",":0",":1",":2"
1.0279,1.0467,-0.73565,0
1.0088,1.0564,0.2616,0
1.0179,1.1328,0.32437,0
1.0091,0.80566,-0.73635,0
1.086,-1.0429,1.5466,0
1.0085,0.55043,-0.93472,0
1.0101,-0.8431,0.70865,0
1.01,-0.19123,-1.0839,0
1.0072,0.78555,0.72904,0
1.0259,1.2467,0.1728,0
1.0265,1.263,0.080597,0
1.0816,1.2689,1.3053,0
1.0089,-0.28299,1.0511,0
1.0816,0.23704,1.8052,0
1.078,0.32152,1.7552,0
1.0095,0.33667,1.0421,0
1.0095,-1.07,-0.23269,0
1.0818,0.50124,-1.7526,0
1.0822,1.7061,0.65073,0
1.0093,0.45287,-0.99485,0
1.0089,1.0219,-0.37811,0
1.0186,1.1244,-0.37856,0
1.0261,1.1744,-0.46206,0
1.0092,-0.95663,-0.52747,0
1.0852,-0.18685,-1.8475,0
1.0256,0.24747,1.2316,0
1.0093,-1.0413,0.33237,0
1.0258,-1.0499,0.69423,0
1.0809,1.7253,0.55538,0
1.0894,1.8313,0.50718,0
1.079,1.7346,0.45457,0
1.0097,0.93254,0.57815,0
1.0344,-0.13353,-1.3381,0
1.018,-1.0581,0.52327,0
1.024,0.15453,1.2309,0
1.0289,1.2346,-0.37479,0
1.0281,-0.92776,-0.88441,0
1.0841,-0.4692,1.7851,0
1.0893,-0.38612,1.8598,0
1.0089,1.0887,-0.045481,0
1.0094,0.6388,0.88836,0
1.0265,1.2321,0.28424,0
1.0191,1.1151,0.41808,0
1.0278,1.2189,0.38422,0
1.0858,1.8179,0.40893,0
1.0767,1.7335,0.35587,0
1.0183,-0.56104,-1.0411,0
1.0085,-0.75705,0.77788,0
1.035,1.3427,0.14471,0
1.0361,1.3163,0.34522,0
1.0178,0.6173,1.0025,0
1.0191,-0.11636,1.1849,0
1.0206,1.017,0.64822,0
1.0251,-1.2103,0.31541,0
1.0288,-1.1558,0.56919,0
1.0256,0.89123,0.88445,0
1.0272,0.58253,-1.1311,0
1.0261,-1.2596,0.059394,0
1.0401,1.1683,0.77383,0
1.0291,-0.13149,1.2838,0
1.0348,0.98888,-0.91725,0
1.038,0.11212,1.3759,0
1.0353,0.968,0.94546,0
1.0356,0.76934,1.1174,0
1.0377,-1.2427,-0.59666,0
1.0317,-1.1571,-0.63211,0
1.028,-1.1616,-0.54072,0
