"f_42-0:0","f_42-0:1","f_42-0:2",":0",":1",":2"
0.09049,-0.67827,0,0.19247,-1.4413,0
0.085544,-0.63492,0,0.20741,-1.5392,0
0.12541,-0.64939,0,0.28538,-1.4771,0
0.13631,-0.69511,0,0.27054,-1.3784,0
0.16935,-0.65978,0,0.36335,-1.4148,0
0.15465,-0.61882,0,0.37823,-1.5134,0
0.19611,-0.624,0,0.45618,-1.4512,0
0.21679,-0.66487,0,0.4413,-1.3526,0
0.2399,-0.62409,0,0.53413,-1.389,0
0.26688,-0.66366,0,0.51925,-1.2904,0
0.28513,-0.61838,0,0.61207,-1.3268,0
0.25725,-0.58492,0,0.62695,-1.4254,0
0.29774,-0.57595,0,0.70489,-1.3633,0
0.33066,-0.60636,0,0.69001,-1.2647,0
0.33777,-0.56155,0,0.78284,-1.3011,0
0.37479,-0.5878,0,0.76766,-1.2032,0
0.37617,-0.54173,0,0.86073,-1.239,0
0.41703,-0.56264,0,0.8463,-1.141,0
0.41201,-0.51675,0,0.93878,-1.1769,0
0.45571,-0.53172,0,0.92483,-1.0784,0
0.44428,-0.48724,0,1.0168,-1.1146,0
0.48935,-0.49651,0,1.002,-1.016,0
0.47215,-0.45412,0,1.0946,-1.0524,0
0.51734,-0.45721,0,1.0798,-0.95377,0
0.49508,-0.41822,0,1.1726,-0.99018,0
0.5392,-0.41543,0,1.1577,-0.89158,0
0.51284,-0.38064,0,1.2505,-0.928,0
0.55485,-0.3725,0,1.2356,-0.8294,0
0.52543,-0.34242,0,1.3284,-0.86581,0
0.56453,-0.3297,0,1.3136,-0.76722,0
0.59845,-0.35885,0,1.2224,-0.73291,0
0.60517,-0.31162,0,1.299,-0.66898,0
0.56872,-0.28806,0,1.3916,-0.7051,0
0.60507,-0.26645,0,1.3767,-0.60652,0
0.64568,-0.28595,0,1.2878,-0.57048,0
0.64113,-0.23889,0,1.3623,-0.50785,0
0.59988,-0.22428,0,1.4547,-0.54428,0
0.63057,-0.19503,0,1.4398,-0.44568,0
0.67744,-0.20656,0,1.3435,-0.40988,0
0.65938,-0.1606,0,1.4243,-0.34719,0
0.6163,-0.15558,0,1.5176,-0.38351,0
0.6392,-0.12107,0,1.5027,-0.28492,0
0.68447,-0.12055,0,1.4098,-0.24851,0
0.65844,-0.082356,0,1.4879,-0.18631,0
0.70508,-0.075705,0,1.395,-0.1499,0
0.67313,-0.040036,0,1.473,-0.087718,0
0.63156,-0.049981,0,1.5658,-0.12413,0
0.64144,-0.010512,0,1.5509,-0.025534,0
0.68237,0.0050965,0,1.4581,0.010874,0
0.64636,0.030755,0,1.5361,0.073058,0
0.68612,0.05196,0,1.442,0.10927,0
0.64602,0.072876,0,1.521,0.17162,0
0.68288,0.099397,0,1.4268,0.20782,0
0.64013,0.11481,0,1.506,0.2702,0
0.67299,0.14595,0,1.412,0.30642,0
0.62884,0.15546,0,1.4911,0.36879,0
0.65696,0.19033,0,1.3971,0.40502,0
0.6126,0.19388,0,1.4762,0.46738,0
0.63499,0.23111,0,1.3834,0.50379,0
0.59193,0.22915,0,1.4617,0.56601,0
0.6089,0.26787,0,1.3688,0.60242,0
0.56782,0.2608,0,1.4468,0.66461,0
0.57943,0.29991,0,1.3539,0.70101,0
0.62341,0.31197,0,1.276,0.63883,0
0.58783,0.34361,0,1.2611,0.73742,0
0.54761,0.32694,0,1.3391,0.79961,0
0.55047,0.36919,0,1.2462,0.83601,0
0.34094,-0.52077,0,0.87565,-1.3375,0
0.4047,-0.47603,0,1.0315,-1.2131,0
0.72084,0.13184,0,1.3355,0.24446,0
0.51446,0.34895,0,1.3242,0.8982,0
0.51252,0.38897,0,1.2314,0.9346,0
0.54856,0.41485,0,1.1534,0.87242,0
0.50575,0.43131,0,1.1385,0.97101,0
0.54078,0.46335,0,1.0606,0.90882,0
0.49331,0.47525,0,1.0457,1.0074,0
0.46436,0.44206,0,1.1236,1.0696,0
0.44851,0.48127,0,1.0308,1.106,0
0.47446,0.51978,0,0.95288,1.0438,0
0.42697,0.5201,0,0.93799,1.1424,0
0.44867,0.5636,0,0.86006,1.0802,0
0.39953,0.55737,0,0.84517,1.1788,0
0.38378,0.51605,0,0.92311,1.241,0
0.35576,0.54747,0,0.83028,1.2774,0
0.36628,0.5918,0,0.75235,1.2152,0
0.32311,0.5758,0,0.73746,1.3138,0
0.32798,0.62118,0,0.6614,1.2522,0
0.28644,0.59991,0,0.64495,1.3503,0
0.28449,0.64656,0,0.56739,1.289,0
0.24639,0.61928,0,0.55198,1.3868,0
0.23744,0.66566,0,0.47313,1.3257,0
0.20406,0.63318,0,0.45889,1.4233,0
0.18941,0.67693,0,0.3816,1.3628,0
0.16076,0.64116,0,0.36624,1.4598,0
0.1407,0.68186,0,0.28902,1.3994,0
0.11752,0.64342,0,0.27348,1.4962,0
0.092756,0.68109,0,0.19556,1.4341,0
0.075377,0.64035,0,0.18056,1.5324,0
0.04689,0.67345,0,0.10261,1.4701,0
0.035285,0.63225,0,0.087703,1.5687,0
0.0041793,0.66039,0,0.0097581,1.5065,0
0.28555,0.55824,0,0.72262,1.4124,0
0.21412,0.59242,0,0.53693,1.4852,0
0.13697,0.60766,0,0.35128,1.558,0
0.012233,0.70644,0,0.024644,1.4079,0
-0.032568,0.68733,0,-0.068186,1.4443,0
-0.034697,0.643,0,-0.083074,1.5428,0
-0.072309,0.6641,0,-0.16101,1.4807,0
-0.069356,0.62232,0,-0.1759,1.5792,0
-0.10681,0.638,0,-0.25384,1.5171,0
-0.11499,0.68204,0,-0.23895,1.4185,0
-0.14831,0.65007,0,-0.33178,1.4549,0
-0.1626,0.69557,0,-0.31689,1.3563,0
-0.19349,0.6575,0,-0.40972,1.3927,0
-0.17575,0.61719,0,-0.4246,1.4913,0
-0.21791,0.61963,0,-0.50254,1.4291,0
-0.24166,0.65923,0,-0.48765,1.3305,0
-0.2619,0.6167,0,-0.58048,1.3669,0
-0.23675,0.58282,0,-0.59537,1.4655,0
0.47401,-0.38456,0,1.2654,-1.0266,0
-0.12604,-0.71247,0,-0.23947,-1.3542,0
0.61228,0.051349,0,1.614,0.13524,0
-0.27652,0.57639,0,-0.67331,1.4033,0
0.58974,0.16291,0,1.5676,0.43304,0
-0.60386,0.13964,0,-1.5637,0.36168,0
0.63424,0.36182,0,1.1832,0.67524,0
0.50566,-0.54444,0,0.91146,-0.9807,0
-0.72865,-0.16923,0,-1.2958,-0.30088,0
0.59938,-0.12055,0,1.5956,-0.32132,0
-0.38686,0.48521,0,-0.99956,1.2534,0
-0.35535,0.50734,0,-0.92164,1.3155,0
-0.40142,-0.46361,0,-1.0623,-1.2265,0
0.4251,0.44795,0,1.1088,1.1682,0
0.36941,-0.63908,0,0.67487,-1.1668,0
0.17871,-0.58772,0,0.47105,-1.5498,0
0.37537,0.64022,0,0.6781,1.1562,0
0.34487,0.50875,0,0.90822,1.3396,0
-0.64038,0.37363,0,-1.1589,0.67634,0
-0.099678,0.59931,0,-0.26873,1.6156,0
-0.61483,0.038948,0,-1.6119,0.10232,0
-0.58076,0.16939,0,-1.5786,0.46028,0
-0.22223,-0.57435,0,-0.58322,-1.5071,0
-0.14899,-0.59237,0,-0.3975,-1.58,0
0.22382,0.71313,0,0.3988,1.2699,0
0.48091,0.36616,0,1.3093,0.99679,0
0.68359,0.2345,0,1.302,0.44694,0
0.60458,-0.022697,0,1.6438,-0.061942,0
-0.74348,-0.0032236,0,-1.3383,-0.0054703,0
0.26984,-0.54785,0,0.71977,-1.4618,0
-0.31798,-0.51594,0,-0.86176,-1.3979,0
-0.28776,-0.67519,0,-0.5316,-1.2472,0
0.061316,0.60381,0,0.16564,1.6308,0
-0.53103,0.28594,0,-1.4524,0.78185,0
0.14219,-0.5826,0,0.39311,-1.612,0
0.73022,0.024082,0,1.3611,0.044942,0
0.57015,-0.45566,0,1.0648,-0.85058,0
0.026026,0.59562,0,0.072804,1.6672,0
-0.25086,0.54762,0,-0.6882,1.5019,0
-0.12448,0.73262,0,-0.22406,1.3199,0
0.55398,0.22607,0,1.5396,0.6282,0
-0.46617,-0.5854,0,-0.82842,-1.04,0
-0.69087,-0.27035,0,-1.2489,-0.48876,0
-0.4178,-0.43054,0,-1.1551,-1.1901,0
0.73629,-0.1185,0,1.3171,-0.21209,0
-0.21539,0.5522,0,-0.61026,1.5641,0
-0.43054,-0.63018,0,-0.73561,-1.0764,0
0.11242,0.7316,0,0.20439,1.3284,0
0.53166,0.25349,0,1.5247,0.72679,0
0.57856,-0.15067,0,1.6105,-0.41991,0
-0.30671,0.60782,0,-0.65837,1.3047,0
-0.17967,0.74786,0,-0.302,1.2577,0
-0.066538,0.58549,0,-0.19079,1.6778,0
-0.53229,0.25045,0,-1.5304,0.71966,0
-0.075909,-0.59231,0,-0.21205,-1.6529,0
